date,crypto_7_index,nasdaq_10_index,crypto_7_ma8,crypto_7_ma21,nasdaq_10_ma8,nasdaq_10_ma21,crypto_7_return,nasdaq_10_return,year,month,year_month
2020-08-20,100.0,1418.4840201899492,103.99161686744992,105.18312233843314,1369.488418847463,1316.294833179159,,,2020,8,2020-08
2020-08-21,95.49257948320552,1437.951793126642,103.99161686744992,105.18312233843314,1387.6527102003804,1326.4828150491423,-0.0450742051679448,0.013724351250771205,2020,8,2020-08
2020-08-22,104.26091612241474,1437.951793126642,103.99161686744992,105.18312233843314,1387.6527102003804,1326.4828150491423,0.09182217808611326,0.0,2020,8,2020-08
2020-08-23,103.03352702335285,1437.951793126642,103.99161686744992,105.18312233843314,1387.6527102003804,1326.4828150491423,-0.011772283850074672,0.0,2020,8,2020-08
2020-08-24,107.12241736490198,1444.3014460254926,103.99161686744992,105.18312233843314,1399.083243031601,1337.4281993451932,0.03968504679668361,0.004415762008991964,2020,8,2020-08
2020-08-25,105.73365096713076,1461.1845816660011,103.99161686744992,105.18312233843314,1412.1709687604312,1348.0023603713837,-0.012964292927039933,0.01168948192011321,2020,8,2020-08
2020-08-26,109.6985113960532,1495.5410862729589,103.99161686744992,105.18312233843314,1429.2173660689432,1361.2470238629987,0.037498567321344156,0.023512775208581305,2020,8,2020-08
2020-08-27,106.59133258254047,1488.837690947749,103.99161686744992,105.18312233843314,1441.9925003841956,1372.8620347590634,-0.028324712650791062,-0.004482254206680025,2020,8,2020-08
2020-08-28,112.0732310984257,1504.8770419401228,105.50077075475316,105.18312233843314,1455.193090180166,1383.9542939912164,0.05142912076495754,0.010773068877752312,2020,8,2020-08
2020-08-29,113.0610003937611,1504.8770419401228,107.6968233685726,105.18312233843314,1455.193090180166,1383.9542939912164,0.008813605940101166,0.0,2020,8,2020-08
2020-08-30,116.27391545991586,1504.8770419401228,109.19844828576024,105.18312233843314,1455.193090180166,1383.9542939912164,0.028417536152740785,0.0,2020,8,2020-08
2020-08-31,119.0308777180788,1542.2664179465412,111.198117122601,105.18312233843314,1474.180509764432,1396.0517545964608,0.02371092645549866,0.024845469074480153,2020,8,2020-08
2020-09-01,121.26332720923504,1558.9362388567067,112.96573085314262,105.18312233843314,1491.7370370977767,1407.8239458439027,0.018755213218235145,0.010808651939890224,2020,9,2020-09
2020-09-02,115.82657148864972,1570.0938339826123,114.22734591833247,105.18312233843314,1508.2547922047731,1419.308707081908,-0.04483429447061449,0.0071571850392599945,2020,9,2020-09
2020-09-03,101.29207325896968,1470.2959442075637,113.17654115119704,105.18312233843314,1511.504104477532,1425.845320021766,-0.12548500782572447,-0.06356173600268644,2020,9,2020-09
2020-09-04,102.07928350245652,1453.7510396981756,112.61253501618656,105.18312233843314,1510.5749117315538,1430.5789953802057,0.007771686551169887,-0.011252771644082338,2020,9,2020-09
2020-09-05,89.23097343314355,1453.7510396981756,109.7572528080263,105.18312233843314,1510.5749117315538,1430.5789953802057,-0.12586598992932563,0.0,2020,9,2020-09
2020-09-06,97.55503909624656,1453.7510396981756,107.81900764583696,105.18312233843314,1510.5749117315538,1430.5789953802057,0.09328672929181736,0.0,2020,9,2020-09
2020-09-07,96.02452260063048,1453.7510396981756,105.2878335384263,105.18312233843314,1510.5749117315538,1430.5789953802057,-0.015688748728869828,0.0,2020,9,2020-09
2020-09-08,91.89285660357324,1362.624662127506,101.8955808991131,105.18312233843314,1493.9603587133722,1431.9119799035618,-0.04302719644065289,-0.06268361987867532,2020,9,2020-09
2020-09-09,101.30896230441026,1419.2874125528135,99.40128528601,105.18312233843314,1485.2665739140052,1436.4693590538377,0.10246830982149358,0.041583535070353284,2020,9,2020-09
2020-09-10,101.86889625518876,1390.2834090930817,97.6565758818274,105.27211739820405,1470.942369808125,1441.1191660438271,0.005526993249580725,-0.020435609590564563,2020,9,2020-09
2020-09-11,102.71642570897215,1379.594461447025,97.8346199380777,105.61611007562148,1450.6083752456857,1442.3923697615078,0.008319805995151697,-0.007688322809684789,2020,9,2020-09
2020-09-12,106.34528665735034,1379.594461447025,98.36787033243942,105.71536581538034,1450.6083752456857,1442.3923697615078,0.03532892546962141,0.0,2020,9,2020-09
2020-09-13,106.00191232336532,1379.594461447025,100.46423769371714,105.85671749633332,1450.6083752456857,1442.3923697615078,-0.003228862743032468,0.0,2020,9,2020-09
2020-09-14,107.869808791094,1411.8291144409986,101.75358390557308,105.89230756424725,1432.2199846937222,1445.02790969511,0.01762134688693684,0.02336531052767743,2020,9,2020-09
2020-09-15,102.91807880487748,1441.4486197350425,102.61527843110396,105.75823269937804,1416.139332912776,1448.9459435965468,-0.04590468864004649,0.02097952577339468,2020,9,2020-09
2020-09-16,101.2762096875051,1410.7560812423385,103.7881975665954,105.35717071325668,1408.6968500421228,1450.094489540195,-0.015953165240144118,-0.021292842542209867,2020,9,2020-09
2020-09-17,104.69943392936884,1390.480637850845,104.21200651971525,105.26708030120088,1400.7880498112063,1449.6758378391703,0.03380087241047369,-0.014372040398109576,2020,9,2020-09
2020-09-18,105.0523670043098,1371.1301130699417,104.60994036335538,104.93275343957632,1401.851231179011,1448.7597926866715,0.0033709167442017574,-0.013916428790271995,2020,9,2020-09
2020-09-19,103.96571336419214,1371.1301130699417,104.76610132025787,104.49964453340635,1401.851231179011,1448.7597926866715,-0.010343923426999746,0.0,2020,9,2020-09
2020-09-20,100.74744009914292,1371.1301130699417,104.06637050048197,103.76028856384572,1401.851231179011,1448.7597926866715,-0.030955140506520706,0.0,2020,9,2020-09
2020-09-21,92.8431035968215,1385.1586022957226,102.42151940966396,102.51325170092872,1397.5851298968744,1447.172868025042,-0.07845694634566358,0.010231333330118053,2020,9,2020-09
2020-09-22,94.76240392084615,1401.260519352527,100.783093800883,101.2513029729102,1398.957268679305,1445.4256645119888,0.02067251362426825,0.011624601709953941,2020,9,2020-09
2020-09-23,90.62396252607472,1344.276265614103,99.24632926603265,100.05117873659712,1394.5424942001898,1440.6625606828752,-0.043671764576890926,-0.04066642351755845,2020,9,2020-09
2020-09-24,97.24821001770896,1359.8310925272692,98.74282930730814,99.8586138203466,1388.0427414609735,1435.8362040572213,0.07309598153720409,0.011571153423630687,2020,9,2020-09
2020-09-25,100.3963974208406,1397.4752449066643,98.2049497437421,99.7784763878887,1382.5460696074265,1431.1664020873975,0.032372702824641886,0.02768296194009867,2020,9,2020-09
2020-09-26,100.94040396224165,1397.4752449066643,97.69095436348356,100.33606831784576,1382.5460696074265,1431.1664020873975,0.005418586277759374,0.0,2020,9,2020-09
2020-09-27,101.73645100213972,1397.4752449066643,97.41229656822703,100.53518317050737,1382.5460696074265,1431.1664020873975,0.007886307253097913,0.0,2020,9,2020-09
2020-09-28,101.07386217685738,1426.5260875051215,97.45309932794132,100.77562791223244,1384.5173203902743,1428.199182875844,-0.006512796728759596,0.020788091026540778,2020,9,2020-09
2020-09-29,102.98023674505028,1429.6292272165135,98.72024097146992,101.30359839515992,1389.4108940609826,1424.6159536032912,0.018861202363645413,0.0021753122768466415,2020,9,2020-09
2020-09-30,102.08084735069816,1443.1790531096328,99.63504640020145,101.34035482593552,1398.4170115659442,1419.8975076586764,-0.00873361164024844,0.009477860157840245,2020,9,2020-09
2020-10-01,99.91511793457424,1469.9168078697537,100.79644082626388,101.24731776304913,1409.011787262698,1415.658487135488,-0.02121582522413412,0.018526983677118025,2020,10,2020-10
