estrategia,peso_crypto_pct,peso_nasdaq_pct,capital_inicial,valor_final,retorno_total_pct,volatilidad_anual_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,fecha_inicio,fecha_fin,dias_trading
70% CRYPTO - 30% NASDAQ,70.0,30.0,10000,235318.68012953436,2253.1868012953437,50.57698625284278,1.1985829846044027,1.7088176428391983,-74.4028383849523,30.283613504603103,2020-08-21,2024-12-30,1593
50% CRYPTO - 50% NASDAQ,50.0,50.0,10000,139956.3919554801,1299.563919554801,39.8968799413994,1.1947319985223614,1.6792323623652268,-67.6288114741776,19.216128322039307,2020-08-21,2024-12-30,1593
100% CRYPTO,100.0,0.0,10000,424062.1468466575,4140.621468466575,68.04823353375191,1.176410687245424,1.6951980462324716,-82.735319849857,50.04660012169798,2020-08-21,2024-12-30,1593
Risk Parity (40/60),40.0,60.0,10000,103900.82209642138,939.0082209642138,35.11766978741257,1.1728785350086552,1.6258706086102084,-63.894208150009966,14.696296396061799,2020-08-21,2024-12-30,1593
30% CRYPTO - 70% NASDAQ,30.0,70.0,10000,75192.7648137019,651.927648137019,30.948727569167307,1.1215790051977057,1.518841859481803,-59.94666697590496,10.875127526256891,2020-08-21,2024-12-30,1593
100% NASDAQ,0.0,100.0,10000,24420.807175958984,144.20807175958984,25.100649122876522,0.6087288405297003,0.7361119644851807,-48.9265935380924,2.9474374022649847,2020-08-21,2024-12-30,1593
