date,crypto_7_index,crypto_7_ma8,crypto_7_ma21,nasdaq_10_index,nasdaq_10_ma8,nasdaq_10_ma21,crypto_7_returns,nasdaq_10_returns,crypto_nasdaq_ratio
2017-05-23,134.51405520962768,131.62927720785407,129.55919323228764,437.535155948969,436.01259879204656,426.6638918440346,0.009663596612103698,-0.003786080350617227,0.30743599315552245
2017-05-24,135.53448737893558,132.45931958219745,130.01361452128353,440.0550245446367,436.7020960762709,427.66811860495346,0.007586063536019649,0.005759236855384486,0.307994409379111
2017-05-25,134.43582186742128,133.01316747815696,130.38835078339721,443.77130801210046,437.643368424905,428.90219998645676,-0.008106169379920147,0.008445042688262294,0.30293941820987574
2017-05-26,133.5812903818892,133.39763832561425,130.71243947334733,446.2508410275072,437.89168600977183,430.11382085474133,-0.006356426982495833,0.005587411738072756,0.2993412630311551
2017-05-30,133.4475298761276,133.88158822682354,131.7102971881915,449.36916113977423,440.719646732221,431.4326730502583,-0.0010013416203662473,0.006987819014720564,0.29696637289851613
2017-05-31,134.41971134526426,133.8697952437781,131.95075265618456,448.7368818307669,442.65763023300667,432.40156228816477,0.007285121500855807,-0.001407037606683148,0.29955128893541283
2017-06-01,135.43989826503844,133.85797160454095,132.20953246273544,449.1090845383986,444.2531814861805,433.9219458960084,0.007589563387424336,0.0008294453224195752,0.3015746127786431
2017-06-02,136.08812466039322,134.06450945366242,132.55866202785904,452.09871409974573,445.8657713927374,435.5588340841163,0.004786081528843855,0.006656800461785295,0.301014182115918
2017-06-05,137.62638383982298,135.46469297291634,133.6054556984151,456.5697217946117,448.2450921234427,437.5845981892529,0.011303404931682914,0.009889450147561263,0.3014356346252289
2017-06-06,138.91712865467855,136.06329499121625,134.08274047320032,458.88134600103893,450.5983823054929,439.60366508954326,0.009378614614751646,0.0050630256367878435,0.3027299537566385
2017-06-07,138.00886885167094,136.63346236315917,134.46387524233964,462.1215084772324,452.89215736363445,441.7485840618792,-0.00653814120550511,0.007061002815717199,0.2986419509155357
2017-06-08,138.5389654018927,137.14836912023773,134.8464200899426,469.7232728025983,455.82621133552084,444.11172834041514,0.0038410324976396737,0.016449708974626498,0.2949374097972656
2017-06-09,138.66728007834746,137.55179184690135,135.18851032019,453.44222464120105,456.33534427319915,445.22794643639014,0.0009261991821760684,-0.03466093571275819,0.30581025000058576
2017-06-12,137.59441528313496,138.5620374678522,136.09830110078605,450.649531388696,456.57442546794033,446.1371147921277,-0.007736971509113899,-0.006158873392778652,0.3053246607383166
2017-06-13,138.01856464938788,138.61106006904785,136.26518250267938,455.70273313561484,457.3986315425924,447.1449094047359,0.0030826059719075705,0.011213152117005798,0.3028697319845002
2017-06-14,136.48991524904574,138.30765839334373,136.31067906792273,453.64066681653253,457.5913756321907,447.9734588139504,-0.011075679595896504,-0.004525025129635596,0.30087671858627
2017-06-15,136.16480542184524,138.07715046461553,136.39301161813341,450.2346087690482,456.7994865039953,448.25775921492544,-0.0023819329553196322,-0.007508273170010682,0.3024307833512021
2017-06-16,136.59085154643608,137.83363623268343,136.53632405454042,449.8035873237331,455.66476666933204,449.3557645465232,0.003128900476675467,-0.0009573263292520506,0.3036677683233522
2017-06-19,137.1750735159287,137.06831474607986,137.11482142207382,457.86637722207655,455.13287526243755,450.52878185117055,0.004277167635154511,0.017925134715611968,0.29959630219668953
2017-06-20,138.17540253787635,137.14093815292253,137.3399582154904,457.70341729418595,453.63039332388604,451.5458648407505,0.007292352730771556,-0.0003559115410030067,0.30188850971384595
2017-06-21,137.93832401088167,137.13090807310928,137.50751119956743,464.92634666739303,455.06590857716003,452.77102445123154,-0.0017157795283403443,0.01578080717838426,0.2966885507771887
2017-06-22,138.05784081092054,137.32689876834363,137.63217513032373,466.1488773465093,457.0033268218867,454.13358261301914,0.0008664510091440647,0.0026295147347088488,0.2961668417969737
2017-06-23,138.34579742321074,137.5995227685143,137.73968335712456,466.2781185974271,458.3252500046132,455.3823013774378,0.002085767896983004,0.0002772531635246711,0.296702315432166
2017-06-26,136.37994649037762,137.58219438497795,137.7764047691616,462.1453068876761,459.38833001350616,456.25725370484605,-0.014209690279347154,-0.008863404789790641,0.2951018747952462
2017-06-27,136.96165315837652,137.55551684028393,137.6832868883853,450.5037084895478,459.4219674785686,456.45977120303843,0.004265338731746393,-0.02519034213833915,0.30401892498861455
2017-06-28,137.13290237426912,137.42520431983303,137.64157419898524,457.0304527201012,460.3253256531146,456.82459461162546,0.0012503442528879471,0.014487659274629028,0.30005200213267474
2017-06-29,136.86302738552632,137.2907922416636,137.5617676267773,446.31977579544997,458.8820004747863,456.7094943242295,-0.001967981309155431,-0.02343536817055547,0.30664791211996656
2017-06-30,136.41275234266132,137.0851561831312,137.4544091631732,445.36015470605366,457.33909265126977,456.53097385602257,-0.0032899684558097553,-0.002150075218347758,0.30629761306935144
2017-07-03,137.07173569180952,136.68680492082913,137.12138462503114,438.3232935595298,454.01371101278687,455.87500144934563,0.004830804582645509,-0.015800383290167308,0.3127183467223
2017-07-05,137.36137273469453,136.8591180752062,137.1314620052853,444.3785703009105,451.29242263208704,455.29447042583604,0.002113032576870788,0.013814635978405487,0.3091089037927288
2017-07-06,137.41092127321377,136.89387043757426,137.19080085535046,438.3099433924923,447.79640073147016,454.31487982542905,0.0003607166813550666,-0.01365643465729871,0.3135017202887564
