date,crypto_7_index,nasdaq_10_index,crypto_7_ma8,crypto_7_ma21,nasdaq_10_ma8,nasdaq_10_ma21,crypto_7_returns,nasdaq_10_returns,crypto_nasdaq_ratio
2023-02-02,1346.9560732559505,121.04226570892422,1313.8019874870631,1189.8044813225922,110.50845605572482,102.65824340700361,-0.006102027491911466,0.06007849946278965,11.12798133252922
2023-02-03,1379.438647997291,118.99921475481267,1328.8410958658708,1210.19172869782,112.12115037330796,103.9426873863262,0.02411554124613824,-0.01687882279917463,11.591997903847533
2023-02-06,1315.0681932947414,117.60366833576727,1329.9191259341724,1227.7623268951395,113.60277350177343,105.25270734462136,-0.046664238961264703,-0.01172735821762183,11.182203853880845
2023-02-07,1367.7785921450688,120.72589177034996,1337.585027030081,1247.157325559738,115.07301532106342,106.5780365655108,0.04008187493172355,0.02654869085944256,11.329620946158897
2023-02-08,1341.0056994054983,118.17832158757057,1340.5413284230597,1261.7733637703275,115.99709732992766,107.68982520935266,-0.019573996035120667,-0.021102102833296943,11.347307030518353
2023-02-09,1235.5362415744103,116.72922857784789,1333.5331884649922,1270.7774742999713,117.14990684019821,108.67869743215687,-0.07864952242771617,-0.012261919024200152,10.584634685137312
2023-02-10,1223.8720126764213,114.86022348313546,1320.6101447588214,1278.132625950399,117.7901468781195,109.47450814548726,-0.009440620603022976,-0.01601145760563283,10.655316310229175
2023-02-13,1224.4754994810153,116.87373804221711,1304.2663699787997,1284.2964159013015,118.12656903257813,110.30123716701982,0.000493096335518084,0.01753012921289754,10.476908841905189
2023-02-14,1262.253669954331,118.9708110476286,1293.6785695660972,1289.777801945763,117.86763719991619,111.2013933093585,0.030852532769604313,0.01794306437476978,10.609776119362607
2023-02-15,1360.8221205142474,119.56833291797938,1291.3515036307167,1295.971050368116,117.93877697031202,112.08950329490835,0.07808925646734921,0.005022424114697888,11.381124812099992
2023-02-16,1299.4253047090322,115.94670450446512,1289.396142557503,1301.9825061217048,117.73165649139926,112.86060377533163,-0.04511744399188178,-0.030289193845318585,11.207091312017335
2023-02-17,1366.9041625944844,114.80239129714558,1289.28683886368,1309.751299704074,116.9912189322487,113.63788783341153,0.051929770523102325,-0.009869303420137032,11.90658266914054
2023-02-21,1363.8795660906314,111.3270542247903,1292.1460721993217,1312.611671524277,116.13481051190118,114.06604228677242,-0.002212734869511346,-0.030272340437229928,12.251106216613811
2023-02-22,1351.7707863246353,111.36898447940183,1306.6753902930998,1314.4117331742054,115.46477999959544,114.28677206994813,-0.008878188417107968,0.00037664029560025014,12.1377670151482
2023-02-23,1337.6528745416967,113.8694841113093,1320.897998026259,1318.1511185825323,115.34093757811715,114.65685892219392,-0.010444013086955417,0.02245238783128123,11.747246287988087
2023-02-24,1286.8590205556536,111.72281511521324,1328.6959381605889,1317.2185027638336,114.69707221224168,114.94124615110674,-0.037972373066851195,-0.018852013011648183,11.518318968498876
2023-02-27,1291.0849741243057,112.54633342410601,1332.2998511818357,1316.4867689898576,113.89401250930135,115.11183549434848,0.0032839289317234677,0.0073710844829995015,11.471586277796693
